,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,NewYork,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,St.Lawrence,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
2005_TS+,0.09667749662848672,2.0670835285115828e-05,0.19691037692601338,0.0395123016474989,0.0,0.014366230523155499,0.0,0.02065016444983071,0.03891284742423055,0.012350824082856706,0.12250570531723895,0.02332703761925321,0.07063224416924078,0.1490160515704,0.0,0.035626184613897126,0.009384559219442585,0.05026113599575913,0.0,0.09896162392749203,0.043057349898896265,0.03875781615959217,0.003090289875124816,0.19920483964266122,0.013032961647265529,0.0015193063934560132,0.023936827260164127,3.100625292767374e-05,0.1356523565585726,0.23306366783968094,0.19305526614533927,0.0,0.023647435566172506,0.014779647228857816,0.004526912927440366,0.13938344232753602,0.0,0.006625002708879622,0.05227654243605793,0.17059640360806091,0.20879610721495495,0.09754567171046158,0.18869371990017983,0.17997062740986094,0.004961000468427798,0.0717071276040668,0.07915896372435106,0.06842046479373338,0.03550215960218643,0.009684286331076765,0.0092088571195191,0.28640475829292233,0.09888927600399411,0.02792629847019148,0.058271084668741514,0.11270772939209404,0.056999828298706895,0.08517417679231977,0.003968800374742239,0.1873501156066473,0.00014469584699581078,0.00792726533184192
2005_C1+,0.009984013442710944,0.0,0.030923569586533278,0.002036077275583909,0.0,9.301875878302122e-05,0.0,0.0002480500234213899,0.001777691834519961,3.100625292767374e-05,0.013580738782321099,0.0005477771350555694,0.005539783856411041,0.01812832254504658,0.0,0.0009301875878302122,2.0670835285115828e-05,0.003214314886835511,0.0,0.009942671772140713,0.0019430585168008878,0.0019533939344434457,0.0,0.0325152239034872,4.1341670570231656e-05,0.0,0.000589118805625801,0.0,0.016092245269462672,0.03938827663578821,0.03095457583946095,0.0,0.0004961000468427798,0.00012402501171069496,0.0,0.016908743263224744,0.0,1.0335417642557914e-05,0.00331766906326109,0.022593222966631597,0.03418956156158158,0.010097703036779081,0.0303034445279798,0.026531017088446164,1.0335417642557914e-05,0.0064906422795263695,0.007751563231918435,0.00564313803283662,0.0016123251522390345,4.1341670570231656e-05,3.100625292767374e-05,0.04886585461401381,0.0092088571195191,0.0008991813349025384,0.004330539992231766,0.011968413630082064,0.0034003524044015536,0.007617202802565182,0.0,0.027409527588063587,0.0,3.100625292767374e-05
2005_C2+,0.001653666822809266,0.0,0.006904058985228686,0.00013436042935325288,0.0,0.0,0.0,0.0,8.268334114046331e-05,0.0,0.0026975440047076154,0.0,0.0006097896409109169,0.00356571908668248,0.0,0.0,0.0,0.00016536668228092662,0.0,0.0014986355581708974,1.0335417642557914e-05,3.100625292767374e-05,0.0,0.00762753822020774,0.0,0.0,0.0,0.0,0.00262519608120971,0.009715292584004439,0.007121102755722402,0.0,0.0,0.0,0.0,0.002883581522273658,0.0,0.0,0.00026872085870650577,0.004547583762725482,0.00802028409062494,0.00168467307573694,0.007090096502794728,0.005415758844700347,0.0,0.0006511313114811485,0.001074883434826023,0.0006511313114811485,1.0335417642557914e-05,0.0,0.0,0.012319817829929032,0.001312598040604855,1.0335417642557914e-05,0.0004547583762725482,0.0017983626698050768,7.234792349790539e-05,0.0010025355113281176,0.0,0.005705150538691968,0.0,0.0
2005_C3+,0.0003203979469192953,0.0,0.0019637293520860036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006718021467662644,0.0,0.00013436042935325288,0.0008888459172599805,0.0,0.0,0.0,0.0,0.0,0.0003203979469192953,0.0,0.0,0.0,0.00218077312257972,0.0,0.0,0.0,0.0,0.0006511313114811485,0.003090289875124816,0.001901716846230656,0.0,0.0,0.0,0.0,0.0006614667291237065,0.0,0.0,4.1341670570231656e-05,0.001178237611251602,0.0023254689695755303,0.0003203979469192953,0.0019844001873711194,0.0014779647228857816,0.0,0.00010335417642557913,0.0001550312646383687,0.00010335417642557913,0.0,0.0,0.0,0.004258192068733861,0.0002997271116341795,0.0,7.234792349790539e-05,0.0004030812880597586,0.0,0.00011368959406813705,0.0,0.001529641811098571,0.0,0.0
2005_C4+,5.1677088212789565e-05,0.0,0.00042375212334487447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.234792349790539e-05,0.0,2.0670835285115828e-05,0.00016536668228092662,0.0,0.0,0.0,0.0,0.0,8.268334114046331e-05,0.0,0.0,0.0,0.0005271062997704535,0.0,0.0,0.0,0.0,0.00013436042935325288,0.000723479234979054,0.0004547583762725482,0.0,0.0,0.0,0.0,0.00013436042935325288,0.0,0.0,0.0,0.0002273791881362741,0.0005477771350555694,5.1677088212789565e-05,0.0004961000468427798,0.00026872085870650577,0.0,1.0335417642557914e-05,2.0670835285115828e-05,1.0335417642557914e-05,0.0,0.0,0.0,0.0011885730288941601,6.201250585534748e-05,0.0,1.0335417642557914e-05,9.301875878302122e-05,0.0,1.0335417642557914e-05,0.0,0.000361739617489527,0.0,0.0
2005_C5+,0.0,0.0,3.100625292767374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0335417642557914e-05,0.0,0.0,3.100625292767374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0670835285115828e-05,0.0,0.0,0.0,0.0,2.0670835285115828e-05,6.201250585534748e-05,2.0670835285115828e-05,0.0,0.0,0.0,0.0,2.0670835285115828e-05,0.0,0.0,0.0,3.100625292767374e-05,4.1341670570231656e-05,0.0,2.0670835285115828e-05,3.100625292767374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.201250585534748e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.100625292767374e-05,0.0,0.0
2040_TS+,0.11628821336112302,6.496548232464974e-05,0.22393601757306764,0.04948745616080193,0.0,0.021389885055390925,0.0,0.02642470993555128,0.04932504245499031,0.014097509664448993,0.14326512989643383,0.03139456933338698,0.08630664326829718,0.1696898398319851,0.0,0.04394914879262555,0.011839959153667414,0.06296779374316676,0.0,0.11700283366669417,0.05358028154725487,0.04961738712545124,0.004190273609939908,0.22742791224801756,0.017670611192304727,0.0020301713226453045,0.03313239598557136,1.6241370581162435e-05,0.15380577940360826,0.26476682321411,0.21994064041010167,0.0,0.031410810703968145,0.020935126679118378,0.007016272091062171,0.15827215631342792,0.0,0.01000468427799606,0.06561513714789623,0.19333727539815762,0.23808225134926012,0.11734390244889858,0.2148408500476167,0.205274682775312,0.007064996202805659,0.08871036611430921,0.09967329125659385,0.08492612676889837,0.04550832036841714,0.014925819564088276,0.01281444138853716,0.320961965424932,0.11489145549114306,0.03649435969587199,0.07472654604392835,0.1309541709959127,0.06827872192320687,0.10204453136144358,0.006577755085370785,0.21315174750717578,0.0003248274116232487,0.011823717783086251
2040_C1+,0.012781958647374836,0.0,0.036055842690180605,0.0026798261458918014,0.0,0.00012993096464929948,0.0,0.0006334134526653349,0.0024849296989178523,8.120685290581217e-05,0.01801167997450914,0.0007958271584769592,0.007454789096753557,0.023436297748617392,0.0,0.0009419994937074212,6.496548232464974e-05,0.003946653051222471,0.0,0.012993096464929948,0.0023062746225250654,0.0023549987342685527,0.0,0.03659180791935896,6.496548232464974e-05,0.0,0.0008932753819639339,0.0,0.020123058150060255,0.045053561992144595,0.034691567561362956,0.0,0.0007633444173146343,0.0001948964469739492,0.0,0.020740230232144427,0.0,1.6241370581162435e-05,0.004385170056913857,0.028536088111102396,0.03878439294781589,0.013058061947254597,0.03344098202661345,0.03163818989210442,0.0,0.007763375137795643,0.009939718795671409,0.007032513461643334,0.0019002403579960047,6.496548232464974e-05,0.0,0.0560327285050104,0.011986131488897876,0.0012830682759118323,0.005879376150380801,0.015380577940360825,0.003784239345410847,0.009631132754629323,0.0,0.03261267212697417,0.0,1.6241370581162435e-05
2040_C2+,0.0018515162462525174,0.0,0.008055719808256567,0.00017865507639278677,0.0,0.0,0.0,0.0,0.00011368959406813704,0.0,0.00300465355751505,0.0,0.0008445512702204465,0.0041577908687775835,0.0,0.0,0.0,0.00021113781755511163,0.0,0.0019002403579960047,1.6241370581162435e-05,4.87241117434873e-05,0.0,0.008835305596152363,0.0,0.0,0.0,0.0,0.0033457223397194615,0.010751787324729532,0.008364305849298653,0.0,0.0,0.0,0.0,0.0035406187866934107,0.0,0.0,0.00035731015278557353,0.005392135032945928,0.009419994937074211,0.0018839989874148424,0.008055719808256567,0.006707686050020085,0.0,0.0007795857878957968,0.001234344164168345,0.0007633444173146343,3.248274116232487e-05,0.0,0.0,0.014097509664448993,0.001721585281603218,0.0,0.0006334134526653349,0.002241309140200416,0.00016241370581162435,0.0008932753819639339,0.0,0.00674016879118241,0.0,0.0
2040_C3+,0.00030858604104208625,0.0,0.0021601022872946036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000747103046733472,0.0,0.00011368959406813704,0.0009419994937074212,0.0,0.0,0.0,0.0,0.0,0.00042227563511022326,0.0,0.0,0.0,0.0025336538106613396,0.0,0.0,0.0,0.0,0.000860792640801609,0.003361963710300624,0.0023062746225250654,0.0,0.0,0.0,0.0,0.0009095167525450963,0.0,0.0,1.6241370581162435e-05,0.001315551017074157,0.0027285502576352887,0.0003410687822044111,0.0023712401048497154,0.0017540680227655428,0.0,8.120685290581217e-05,0.00021113781755511163,9.74482234869746e-05,0.0,0.0,0.0,0.004303963204008045,0.00045475837627254815,0.0,6.496548232464974e-05,0.0005359652291783603,0.0,0.0001948964469739492,0.0,0.001721585281603218,0.0,0.0
