,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,NewYork,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,St.Lawrence,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
2005_TS+,0.09548006630560157,0.00018267869828877853,0.18895066693002657,0.03993221027038411,0.0,0.014763145172819065,0.0,0.020683288172918368,0.04014871835724488,0.011447865092763455,0.12008756355287148,0.02460073136955551,0.06991181442288698,0.14395081425155748,0.0,0.034986353661158286,0.008146116768136643,0.05076438049113723,0.0,0.0978007623616405,0.04276034715500297,0.0399931031698137,0.0024018865886117177,0.19178556969235985,0.013071675744219262,0.0018673822491741803,0.02577122821414657,6.765877714399204e-06,0.12980336395074873,0.22376110777061048,0.18565568448311418,0.0,0.024533072592411515,0.01572389980826375,0.005148832940657795,0.13330132272909312,0.0,0.007307147931551141,0.05366017615290009,0.16393045114217833,0.1999587499713541,0.09635286453075907,0.18154879671047386,0.17285464384747087,0.004100121894925918,0.07244225268807228,0.08123789371679124,0.0689104645211559,0.03649514439146931,0.010142050693884408,0.01012851893845561,0.2730437610422943,0.09539210989531438,0.02842345227819106,0.059167600612421045,0.10935688149783435,0.05667775761352214,0.08364654618311737,0.005013515386369811,0.1794513746190101,0.000561567850295134,0.008640025841287783
2005_C1+,0.009898479096166037,0.0,0.02959394912278212,0.0021718467463221446,0.0,0.0001420834320023833,0.0,0.00043978205143594827,0.0019079775154605756,2.0297633143197612e-05,0.014079791523664745,0.0006562901382967228,0.005811888956668916,0.018497909671167424,0.0,0.0007780759371559085,2.0297633143197612e-05,0.002956688561192452,0.0,0.010189411837885201,0.0016035130183126114,0.0016644059177422044,0.0,0.030892997643946766,9.472228800158886e-05,0.0,0.0006427583828679244,0.0,0.016116320715698906,0.03798363748863713,0.029411270424493343,0.0,0.0005006749508655411,0.00017591282057437933,0.0,0.016792908487138825,0.0,2.0297633143197612e-05,0.0033694071017708036,0.022577733932950147,0.03268595523826256,0.010114987183026811,0.028714385019910225,0.025500593105570603,1.3531755428798408e-05,0.005838952467526514,0.007469528996696721,0.005432999804662561,0.0014411319531670306,5.4127021715193634e-05,1.3531755428798408e-05,0.04709050889221846,0.009594014599018073,0.0010419451680174774,0.00442488402521708,0.012131218741917773,0.002949922683478053,0.007232723276692749,0.0,0.026576367662160073,0.0,1.3531755428798408e-05
2005_C2+,0.0013802390537374378,0.0,0.0069011952686871885,0.00011501992114478647,0.0,0.0,0.0,0.0,8.795641028718966e-05,0.0,0.0024966088766133062,0.0,0.0006833536491543196,0.0033626412240564045,0.0,0.0,0.0,0.0001488493097167825,0.0,0.0014817272194534257,4.736114400079443e-05,6.765877714399204e-05,0.0,0.007455997241267923,0.0,0.0,6.765877714399204e-06,0.0,0.002855200395476464,0.009424867656158091,0.006914727024115987,0.0,0.0,0.0,0.0,0.0031055378709092347,0.0,0.0,0.000263869230861569,0.004634626234363455,0.007828120515559879,0.001427600197738232,0.006840302369257595,0.005744230179524925,0.0,0.0005886313611527308,0.0008389688365855013,0.000561567850295134,6.089289942959284e-05,0.0,0.0,0.012225941029919363,0.0014005366868806352,2.0297633143197612e-05,0.0004600796845791459,0.001887679882317378,6.765877714399204e-05,0.0008795641028718965,0.0,0.0058727818560985095,0.0,0.0
2005_C3+,0.00038565502972075466,0.0,0.002056826825177358,6.765877714399204e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0006224607497247268,0.0,0.00012178579885918568,0.0009472228800158887,0.0,0.0,0.0,2.0297633143197612e-05,0.0,0.00033829388571996025,0.0,6.765877714399204e-06,0.0,0.0022395055234661365,0.0,0.0,0.0,0.0,0.0006901195268687189,0.0030852402377660373,0.0020365291920341607,0.0,0.0,0.0,0.0,0.0007171830377263157,0.0,0.0,5.4127021715193634e-05,0.001258453254878252,0.002449247732612512,0.00041271854057835147,0.002016231558890963,0.0015696836297406154,0.0,8.795641028718966e-05,0.00020297633143197613,0.00010148816571598807,0.0,0.0,0.0,0.004309864104072293,0.00023680572000397217,0.0,0.00010148816571598807,0.0004939090731511419,0.0,0.0001353175542879841,0.0,0.0016914694285998012,0.0,0.0
2005_C4+,6.765877714399204e-05,0.0,0.00043301617372154907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012178579885918568,0.0,2.7063510857596817e-05,0.0001488493097167825,0.0,0.0,0.0,0.0,0.0,6.089289942959284e-05,0.0,0.0,0.0,0.0005074408285799403,0.0,0.0,0.0,0.0,0.00010825404343038727,0.0007780759371559085,0.0004465479291503475,0.0,0.0,0.0,0.0,0.00010148816571598807,0.0,0.0,0.0,0.00023680572000397217,0.0005412702171519364,6.765877714399204e-05,0.00048714319543674274,0.0003044644971479642,0.0,1.3531755428798408e-05,2.0297633143197612e-05,3.382938857199602e-05,0.0,0.0,0.0,0.0012652191325926512,4.0595266286395224e-05,0.0,6.765877714399204e-06,5.4127021715193634e-05,0.0,6.765877714399204e-06,0.0,0.00033829388571996025,0.0,0.0
2005_C5+,6.765877714399204e-06,0.0,4.736114400079443e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.765877714399204e-06,0.0,0.0,1.3531755428798408e-05,0.0,0.0,0.0,0.0,0.0,6.765877714399204e-06,0.0,0.0,0.0,4.736114400079443e-05,0.0,0.0,0.0,0.0,1.3531755428798408e-05,4.736114400079443e-05,4.0595266286395224e-05,0.0,0.0,0.0,0.0,2.0297633143197612e-05,0.0,0.0,0.0,1.3531755428798408e-05,4.0595266286395224e-05,6.765877714399204e-06,4.736114400079443e-05,2.7063510857596817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012178579885918568,6.765877714399204e-06,0.0,0.0,6.765877714399204e-06,0.0,0.0,0.0,2.0297633143197612e-05,0.0,0.0
2040_TS+,0.0801234570018338,0.00019137768392157758,0.1552179337539506,0.0350327482511999,0.0,0.013970570926275162,0.0,0.01894639070823618,0.03433103007682078,0.008771477179738972,0.1016109180688065,0.022688887638258142,0.05874231687037312,0.1195259957025764,0.0,0.027430801362092784,0.006815171966318401,0.04165654253359672,0.0,0.08280274457673589,0.03473504963176633,0.032289668114990615,0.003030146662091645,0.15718487106092238,0.011099905667451499,0.0019988335876253657,0.022316764363966183,0.0,0.1065442094765627,0.1835418309743441,0.15163491822719663,0.0,0.020849535453900756,0.014321430013464722,0.005028980249717011,0.10956372404510316,0.0,0.007070342211547172,0.045090708750633916,0.13604826908113926,0.1639787788401384,0.08142057241508006,0.14694616497111798,0.1424275252118585,0.003933874613943539,0.05985868669324899,0.06720546333712732,0.05736014470871728,0.029706069382049317,0.010004800031678028,0.009026647424967742,0.22120070633269007,0.0785392750627052,0.02543196777446742,0.050523708555296476,0.09010699284640944,0.046823739999479315,0.07002296812819499,0.0052097258400873895,0.1485622431909002,0.00034022699363836013,0.008388721811895816
2040_C1+,0.008399353905447016,0.0,0.025655241739042593,0.0023709568619173223,0.0,0.00019137768392157758,0.0,0.0004146516484967514,0.002115786616688552,5.316046775599377e-05,0.012099322461264182,0.0006591898001743228,0.005305414682048178,0.01552285658475018,0.0,0.0005528688646623352,6.379256130719253e-05,0.0027005517620044836,0.0,0.008845901834597363,0.001605446126231012,0.0017755596230501919,0.0,0.026548337597343288,0.00010632093551198754,0.0,0.0007229823614815152,0.0,0.013779193242353585,0.031683638782572285,0.02534691102605783,0.0,0.0005528688646623352,0.00021264187102397507,1.0632093551198754e-05,0.014449015136079107,0.0,1.0632093551198754e-05,0.003189628065359626,0.019860750753639272,0.027834820917038337,0.008643892057124587,0.024964155658214675,0.02267825554470694,4.2528374204795016e-05,0.005103404904575402,0.006538737533987234,0.004816338378693035,0.0016373424068846082,5.316046775599377e-05,4.2528374204795016e-05,0.03917926473616741,0.008399353905447016,0.0012014265712854593,0.004189044859172309,0.010610829364096356,0.002626127107146092,0.006102821698388085,0.0,0.02312480347385729,0.0,3.1896280653596264e-05
2040_C2+,0.0014140684423094342,0.0,0.006326095662963258,0.0001382172161655838,0.0,0.0,0.0,0.0,7.442465485839127e-05,0.0,0.0023071643006101297,0.0,0.0007867749227887078,0.0031258355040524335,0.0,0.0,0.0,0.00015948140326798132,0.0,0.0016160782197822106,5.316046775599377e-05,9.568884196078879e-05,0.0,0.006676954750152817,0.0,0.0,0.0,0.0,0.002721815949106881,0.008346193437691022,0.006326095662963258,0.0,0.0,0.0,0.0,0.0028812973523748625,0.0,0.0,0.00028706652588236635,0.004220941139825905,0.0070916063986495685,0.001467228910065428,0.006262303101656066,0.005443631898213762,0.0,0.0005528688646623352,0.0008824637647494966,0.0006166614259695278,6.379256130719253e-05,0.0,0.0,0.010100488873638817,0.001297115413246248,2.1264187102397508e-05,0.0004890763033551427,0.001903144745664577,9.568884196078879e-05,0.000606029332418329,0.0,0.00546489608531616,0.0,0.0
2040_C3+,0.0002551702452287701,0.0,0.001903144745664577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004890763033551427,0.0,0.00014884930971678255,0.0008824637647494966,0.0,0.0,0.0,3.1896280653596264e-05,0.0,0.00034022699363836013,0.0,0.0,0.0,0.002232739645751738,0.0,0.0,0.0,0.0,0.0005847651453159315,0.002806872697516471,0.0020626261489325583,0.0,0.0,0.0,0.0,0.0006272935195207265,0.0,0.0,3.1896280653596264e-05,0.0011588981970806643,0.0022859001135077323,0.00026580233877996885,0.002115786616688552,0.001552285658475018,0.0,7.442465485839127e-05,0.00015948140326798132,0.00010632093551198754,0.0,0.0,0.0,0.0035192229654467874,0.00024453815167757136,0.0,5.316046775599377e-05,0.0004465479291503477,0.0,0.00012758512261438505,0.0,0.0015310214713726207,0.0,0.0
