,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,NewYork,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,St.Lawrence,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
2005_TS+,0.06576433138396026,4.0595266286395224e-05,0.14177896750523533,0.024262437483835546,0.0,0.007361274953266334,0.0,0.011089273573900296,0.023964738864401983,0.004688753256078648,0.08546656728829075,0.013017548722504069,0.0459403096807706,0.1036938418508822,0.0,0.01809195700830347,0.0032002601589108236,0.03125158916280993,0.0,0.06763171363313444,0.02424213985069235,0.023091940639244486,0.0009066276137294934,0.14444472332470862,0.005703634913238529,0.000561567850295134,0.013565584817370404,0.0,0.0935179617684258,0.1701482927617112,0.13922146572919242,0.0,0.012543937282496125,0.007699568838986295,0.0020026998034621646,0.09602810240046791,0.0,0.0029363909280492547,0.0332136936999857,0.11995224599858349,0.15104145409624783,0.06657623670968817,0.1360482690811392,0.12829457322043772,0.0015967471405982122,0.047171699424791255,0.05436382743519761,0.04481717398018033,0.020703585806061565,0.004573733334933862,0.004397820514359483,0.20778687048691397,0.06492536254737477,0.016278701780844486,0.037726534135489966,0.07688743434643255,0.03380232506113842,0.055128371616924715,0.0018403187383165835,0.13299009235423076,0.0001623810651455809,0.0036874033543475666
2005_C1+,0.005737464301810526,0.0,0.02142076884378788,0.0008186712034423038,0.0,1.3531755428798408e-05,0.0,6.089289942959284e-05,0.000696885404583118,0.0,0.009113637281295729,9.472228800158886e-05,0.0031596648926244283,0.012368024461921746,0.0,7.442465485839125e-05,0.0,0.0010960721897326712,0.0,0.006001333532672094,0.00043301617372154907,0.00041948441829275067,0.0,0.022503309278091754,0.0,0.0,0.0001353175542879841,0.0,0.01054123747903396,0.02815958304732949,0.021204260756927107,0.0,8.119053257279045e-05,2.0297633143197612e-05,0.0,0.011021614796756304,0.0,0.0,0.0015358542411686195,0.01581185621855094,0.023863250698685994,0.005899845366956106,0.020771244583205558,0.018051361742017078,0.0,0.0028890297840484603,0.0040730583840683215,0.002780775740618073,0.00036535739657755705,0.0,0.0,0.03564264379945501,0.005859250100669711,0.0003179962525767626,0.0023612913223253224,0.007665739450414298,0.000893095858300695,0.003700935109776365,0.0,0.018653524858598607,0.0,0.0
2005_C2+,0.0007510124262983117,0.0,0.004614328601220258,4.0595266286395224e-05,0.0,0.0,0.0,0.0,2.0297633143197612e-05,0.0,0.0014411319531670306,0.0,0.000331528008005561,0.0022733349120381326,0.0,0.0,0.0,4.736114400079443e-05,0.0,0.0008389688365855013,6.765877714399204e-06,6.765877714399204e-06,0.0,0.0050473447749418065,0.0,0.0,0.0,0.0,0.0016508741623134059,0.006610262526968023,0.004641392112077854,0.0,0.0,0.0,0.0,0.0017726599611725916,0.0,0.0,8.119053257279045e-05,0.0030243473383364445,0.005432999804662561,0.0007780759371559085,0.00450607455778987,0.003612978699489175,0.0,0.00019621045371757693,0.00041948441829275067,0.00022327396457517374,0.0,0.0,0.0,0.008917426827578151,0.0008119053257279045,0.0,0.00021650808686077454,0.0011704968445910623,1.3531755428798408e-05,0.0002909327417191658,0.0,0.003795657397777954,0.0,0.0
2005_C3+,0.00017591282057437933,0.0,0.0012381556217350544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004465479291503475,0.0,6.765877714399204e-05,0.00059539723886713,0.0,0.0,0.0,0.0,0.0,0.00019621045371757693,0.0,0.0,0.0,0.0014546637085958289,0.0,0.0,0.0,0.0,0.00041271854057835147,0.002219207890322939,0.0012990485211646472,0.0,0.0,0.0,0.0,0.0005006749508655411,0.0,0.0,2.0297633143197612e-05,0.0007848418148703077,0.001556151874311817,0.00018267869828877853,0.0012855167657358489,0.000926925246872691,0.0,2.0297633143197612e-05,6.765877714399204e-05,6.089289942959284e-05,0.0,0.0,0.0,0.0030581767269084402,0.0001420834320023833,0.0,2.0297633143197612e-05,0.000297698619433565,0.0,1.3531755428798408e-05,0.0,0.0009810522685878846,0.0,0.0
2005_C4+,2.0297633143197612e-05,0.0,0.00025710335314716977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.089289942959284e-05,0.0,0.0,0.00011501992114478647,0.0,0.0,0.0,0.0,0.0,4.0595266286395224e-05,0.0,0.0,0.0,0.000297698619433565,0.0,0.0,0.0,0.0,6.089289942959284e-05,0.0004600796845791459,0.0002706351085759682,0.0,0.0,0.0,0.0,6.765877714399204e-05,0.0,0.0,0.0,0.0001420834320023833,0.00034505976343435945,2.0297633143197612e-05,0.00022327396457517374,0.00020297633143197613,0.0,6.765877714399204e-06,1.3531755428798408e-05,0.0,0.0,0.0,0.0,0.0008795641028718965,2.7063510857596817e-05,0.0,0.0,3.382938857199602e-05,0.0,0.0,0.0,0.00018267869828877853,0.0,0.0
2005_C5+,0.0,0.0,1.3531755428798408e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.765877714399204e-06,0.0,0.0,6.765877714399204e-06,0.0,0.0,0.0,0.0,0.0,6.765877714399204e-06,0.0,0.0,0.0,6.765877714399204e-06,0.0,0.0,0.0,0.0,6.765877714399204e-06,3.382938857199602e-05,2.0297633143197612e-05,0.0,0.0,0.0,0.0,1.3531755428798408e-05,0.0,0.0,0.0,6.765877714399204e-06,1.3531755428798408e-05,0.0,2.0297633143197612e-05,6.765877714399204e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.795641028718966e-05,0.0,0.0,0.0,6.765877714399204e-06,0.0,0.0,0.0,1.3531755428798408e-05,0.0,0.0
2040_TS+,0.05419178083046005,5.316046775599377e-05,0.1161130936726416,0.021189762447539118,0.0,0.006730115217908811,0.0,0.009941007470370834,0.020690054050632775,0.0036999685558171663,0.07057583699285733,0.012386388987146548,0.03945569916849857,0.08572657030331556,0.0,0.015118837029804629,0.002679287574902086,0.025846619422964172,0.0,0.0571793991183469,0.020594365208671986,0.019414202824488924,0.0010632093551198754,0.11802687051185737,0.004965187688409818,0.0006379256130719253,0.01229070014518576,0.0,0.07567924189743273,0.13769624358157506,0.11378466518492907,0.0,0.011323179632026673,0.007059710117995973,0.0020945224295861545,0.07812462341420845,0.0,0.0028812973523748625,0.02856843537207105,0.09959082029407873,0.12292826563895999,0.05502108412745355,0.11119043435843656,0.10564048152471082,0.001552285658475018,0.03807352700684274,0.04427203754719161,0.03729738417760523,0.017542954359477943,0.004656856975425054,0.004305997888235495,0.16828477672837389,0.05437252642083043,0.014523439790937499,0.0332465565345985,0.06357991943616854,0.02756901857825837,0.04489933106671234,0.002041361961830161,0.10987205475808792,0.00010632093551198754,0.0038700820526363466
2040_C1+,0.005092772811024203,0.0,0.018914494427582584,0.0009568884196078879,0.0,2.1264187102397508e-05,0.0,9.568884196078879e-05,0.0007548786421351115,0.0,0.00784648504078468,0.0001382172161655838,0.0030620429427452413,0.01083410332867153,0.0,0.00010632093551198754,0.0,0.001116369822875869,0.0,0.005262886307843383,0.00038275536784315516,0.0004890763033551427,0.0,0.02014781727952164,0.0,0.0,0.00012758512261438505,0.0,0.009313713950850108,0.024017899332157984,0.019063343737299367,0.0,0.00012758512261438505,1.0632093551198754e-05,0.0,0.009707101412244462,0.0,0.0,0.0017649275294989932,0.013290116938998443,0.021211026634641514,0.005241622120740985,0.018723116743661006,0.015884347765490938,0.0,0.0025623345458388996,0.00366807227516357,0.0026899196684532847,0.00031896280653596264,0.0,0.0,0.028781077243095025,0.005592481207930545,0.0003083307129847639,0.0024772777974293096,0.006751379405011209,0.0006698218937255215,0.0032534206266668186,0.0,0.016256471039782894,0.0,0.0
2040_C2+,0.0007442465485839127,0.0,0.004422950917298682,2.1264187102397508e-05,0.0,0.0,0.0,0.0,1.0632093551198754e-05,0.0,0.001605446126231012,0.0,0.00031896280653596264,0.0021051545231373535,0.0,0.0,0.0,3.1896280653596264e-05,0.0,0.0008186712034423041,1.0632093551198754e-05,0.0,0.0,0.0049013951271026255,0.0,0.0,0.0,0.0,0.0017436633423965956,0.00589017982736411,0.004667489068976253,0.0,0.0,0.0,0.0,0.0017861917166013908,0.0,0.0,8.505674840959003e-05,0.0027749764168628747,0.004922659314205023,0.0007974070163399065,0.004316629981786694,0.00332784528152521,0.0,0.00024453815167757136,0.0004146516484967514,0.00022327396457517385,0.0,0.0,0.0,0.007516890140697519,0.000733614455032714,0.0,0.0001807455903703788,0.0011482661035294654,2.1264187102397508e-05,0.00024453815167757136,0.0,0.00366807227516357,0.0,0.0
2040_C3+,0.00014884930971678255,0.0,0.0011907944777342604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003295949000871614,0.0,3.1896280653596264e-05,0.0004890763033551427,0.0,0.0,0.0,0.0,0.0,0.00017011349681918006,0.0,0.0,0.0,0.0014353326294118318,0.0,0.0,0.0,0.0,0.00031896280653596264,0.0018712484650109807,0.0013290116938998442,0.0,0.0,0.0,0.0,0.00038275536784315516,0.0,0.0,0.0,0.000776142829237509,0.0014565968165142294,0.0001807455903703788,0.0013502758810022418,0.0009568884196078879,0.0,3.1896280653596264e-05,4.2528374204795016e-05,5.316046775599377e-05,0.0,0.0,0.0,0.0023815889554685207,0.00014884930971678255,0.0,0.0,0.00028706652588236635,0.0,2.1264187102397508e-05,0.0,0.0009249921389542916,0.0,0.0
